key,mean,lower,upper,n.subj,n.item,seed
filler_pred,2.6404530877427477,1.9775089020502954,3.3681400530174685,350,8,66
filler_subj,5.054444155614208,4.2269871499970995,5.981019869350117,350,8,66
syntax_critical,1.7239305216574177,1.0609766781903904,2.423654648726709,350,8,66
syntax_filler,2.4139910678714602,1.6933129674121943,3.1559906771106747,350,8,66
b_Intercept,2.7024473159516647,2.2979595665183536,3.1522264616391653,350,8,67
b_syntax_dev1,0.7907644425702675,0.5692788238110869,1.0287651081107196,350,8,67
b_syntax_dev1:trial_dev1,2.8375012377259795e-4,-0.212694864225679,0.2082892408881903,350,8,67
b_trial_dev1,-0.13468289205979,-0.30977488882716087,0.036134161117878365,350,8,67
critical_pred,2.04664951556496,1.5472061818503753,2.573389865859108,350,8,67
critical_subj,3.6276109004579493,3.051442893348133,4.2613198336907825,350,8,67
filler_pred,1.7767162311978346,1.2870033887194847,2.2918962549939765,350,8,67
filler_subj,3.3588126165859147,2.8009269890270296,3.9809668665334756,350,8,67
syntax_critical,1.5809613848929898,0.9712364643892161,2.2108079394569926,350,8,67
syntax_filler,1.58209638538808,0.9626167759428232,2.2158752598187217,350,8,67
b_Intercept,3.2801576371939283,2.7406947975828397,3.8998246545024284,350,8,68
b_syntax_dev1,0.9447948808895096,0.7393860150840161,1.1671978043959492,350,8,68
b_syntax_dev1:trial_dev1,0.33290754319812926,0.09417136116540802,0.5793853688981406,350,8,68
b_trial_dev1,0.2106707142330967,-0.0063741756639823675,0.4197604195468404,350,8,68
critical_pred,2.457599585269451,1.8663407847796796,3.1141119512984328,350,8,68
critical_subj,3.6813742606522117,3.0180787317530733,4.42012269478181,350,8,68
filler_pred,2.213125927339386,1.6321774629834314,2.8438190729620514,350,8,68
filler_subj,4.768530775514663,4.002375776237323,5.6398724157359945,350,8,68
syntax_critical,1.2237746753827607,0.6317675646559252,1.8295039185720396,350,8,68
syntax_filler,2.555404848175278,1.8931057965248488,3.260353878967236,350,8,68
b_Intercept,2.6900334665192798,2.066362453785377,3.348810023103953,350,8,69
b_syntax_dev1,1.148337059454031,0.9492513345847146,1.3577949459957839,350,8,69
b_syntax_dev1:trial_dev1,0.526457637995313,0.32342648137533603,0.7401817154043974,350,8,69
b_trial_dev1,0.054114755574576,-0.7010931520468833,0.7989273049863301,350,8,69
critical_pred,2.0140392894859858,1.044441677553127,3.018688598661535,350,8,69
critical_subj,3.2577981324034213,2.2433484804896633,4.294096272218383,350,8,69
filler_pred,1.0693535246445118,0.10667620359944864,2.050076488491,350,8,69
filler_subj,4.418942919543199,3.4051683257772987,5.511284897789898,350,8,69
syntax_critical,1.2437588429174358,0.7230897770346479,1.781279748217018,350,8,69
syntax_filler,3.349589394898688,2.7383694614613394,4.022583242066678,350,8,69
b_Intercept,3.206193527789994,2.648259285217564,3.7985561565282637,350,8,70
b_syntax_dev1,0.6829550941250666,0.4769009765048051,0.9061301933714595,350,8,70
b_syntax_dev1:trial_dev1,0.15442440676222877,-0.09698864708811117,0.41206462688364687,350,8,70
b_trial_dev1,0.006485318230338293,-0.40902297278758587,0.40258233510214053,350,8,70
critical_pred,2.6711775221968175,1.963921465617396,3.4280045700636306,350,8,70
critical_subj,3.7282388969224933,2.965466247837171,4.568205678947892,350,8,70
filler_pred,2.3752993451330364,1.6617382149262874,3.113794321042236,350,8,70
filler_subj,4.050058346907627,3.246623803258044,4.920610293658762,350,8,70
syntax_critical,1.0570613747256756,0.3883789218839907,1.7417974855758354,350,8,70
syntax_filler,1.6747590017745906,1.02363814643366,2.371662790411593,350,8,70
b_Intercept,3.069653961489997,2.5975100380131853,3.578924750131124,350,8,71
b_syntax_dev1,0.34301973462083707,0.044662302568954544,0.6450148811421397,350,8,71
b_syntax_dev1:trial_dev1,-0.030709861789769824,-0.27121049809757813,0.21121296813000925,350,8,71
b_trial_dev1,-0.131288891859349,-0.4194252536622144,0.14891032844602606,350,8,71
critical_pred,2.827213256938739,2.1899797309425026,3.513085088327842,350,8,71
critical_subj,3.574672449759953,2.8792810355656417,4.3295110457113,350,8,71
filler_pred,2.6260551967995807,1.9913049558499134,3.3100859425679032,350,8,71
filler_subj,3.2506749424617154,2.58729635397808,3.965407508759027,350,8,71
syntax_critical,0.7474591928212139,-0.029747955099742634,1.528116638723301,350,8,71
syntax_filler,0.6246197456621345,-0.13513866058728471,1.377570364619715,350,8,71
b_Intercept,3.01187864083565,2.5257743074841517,3.55129872782539,350,8,72
